# Optical Flow-Based Methods

| Method | Year | Code Link |
|--------|------|-----------|
| Super SloMo | 2018 | [GitHub](https://github.com/avinashpaliwal/Super-SloMo) |
| DAIN | 2019 | [GitHub](https://github.com/baowenbo/DAIN) |
| SoftSplat | 2020 | [GitHub](https://github.com/sniklaus/softmax-splatting) |
| XVFI | 2021 | [GitHub](https://github.com/hyoseok1223/XVFI) |
| ABME | 2021 | [GitHub](https://github.com/JunHeum/ABME) |
| RIFE | 2022 | [GitHub](https://github.com/megvii-research/ECCV2022-RIFE) |
| IFRNet | 2022 | [GitHub](https://github.com/ltkong218/IFRNet) |
| UPR-Net | 2023 | [GitHub](https://github.com/xyjin123/UPR-Net) |
